Clark, S. R. L. => Clark, S. R. L.
Clark, T. => Clark, T.
Clement, W. C => Clement, W. C
Cliff, D. => Cliff, D.
Cling, A. => Cling, A.
Cohen, B. => Cohen, B.
Cohen, D. => Cohen, D.
Cohen, D. J. => Cohen, D. J.
Cohen, J. => Cohen, J.
Cole, D. J. => Cole, D. J.
Coles, L. S. => Coles, L. S.
Collins, A. => Collins, A.
Collins, C. => Collins, C.
Collins, J. => Collins, J.
Combes, R. => Combes, R.
Cook, K. S. => Cook, K. S.
Cooper, D. E => Cooper, D. E
Cooper, L. => Cooper, L.
Cooper, R. P. => Cooper, R. P.
Cooper, W. E. => Cooper, W. E.
Corbi, J. E. => Corbi, Josep E.
Cotterill, R. M. J. => Cotterill, Rodney M. J.
Cottrell, G. => Cottrell, Gary
Cousin, D. R => Cousin, D. R
Coval, S. C => Coval, S. C
Coval, S. => Coval, S.
Cover, J. => Cover, J.
Cowan, J. L => Cowan, J. L
Cram, H-R. => Cram, H-R.
Craver, C. F. => Craver, Carl F.
Crawford, C. => Crawford, C.
Creighton, J. E. => Creighton, J. E.
Crisp, T. => Crisp, T.
Crockett, L. => Crockett, L.
Crook, S. => Crook, S.
Crosby, D. A. => Crosby, D. A.
Cruse, H. => Cruse, H.
Cruz, J. L. H. => Cruz, Joseph L. H.
Cuda, T. => Cuda, Thomas
Cunningham, G. W. => Cunningham, G. W.
Curley, E. M. => Curley, Edwin M.
Currie, G. => Currie, Gregory
Dale, A. J => Dale, A. J
Dalenoort, G. J. => Dalenoort, G. J.
Dancy, J.. => Dancy, Jonathan
D'Aquili, E. G. => D'Aquili, E. G.
Daugman, J. G. => Daugman, J. G.
Daveney, T. F => Daveney, T. F
Davie, G. E => Davie, G. E
Davies, F. => Davies, F.
Davies, M. => Davies, Martin
Davies, W. M. => Davies, W. Martin
Davis, S. => Davis, S.
Davis, W. => Davis, W.
Dawes Hicks, G. => Dawes Hicks, G.
Dawson, E. E => Dawson, E. E
Dawson, M. R. W. => Dawson, M. R. W.
De Boer, C. => De Boer, C.
de Boer, R. => de Boer, R.
Decety, J. => Decety, J.
Degrazia, D. => Degrazia, D.
de Groot, A. => de Groot, A.
de Jong, H. L. => de Jong, H. L.
Delancey, C. => Delancey, Craig
Delaney, C. F. => Delaney, C. F.
Demopolous, W. => Demopolous, W.
Dempsey, L. => Dempsey, Liam
DesAutels, P. => DesAutels, Peggy
Deutsch, M. => Deutsch, M.
DeVidi, R. => DeVidi, R.
de Vignemont, F. => de Vignemont, Frederique
de Vries, W. A. => de Vries, W. A.
Diaz, J. => Diaz, J.
Dietrich, L. => Dietrich, L.
Dinsmore, J. => Dinsmore, John
Dobbs, H. A C. => Dobbs, H. A C.
Donovan, C. => Donovan, C.
Dowe, D. => Dowe, D.
Dowell, J. L => Dowell, Janice L
Dowell, J. L. => Dowell, Janice L.
Downie, R. S => Downie, R. S
Dreckmann, F. => Dreckmann, F.
Dretske, F. I => Dretske, Frederick I
Dreyfus, S. E. => Dreyfus, Stephen E.
Dumpleton, S. => Dumpleton, S.
Dunlop, C. E. M. => Dunlop, C. E. M.
Dunmall, B. => Dunmall, B.
Dyer, M. G. => Dyer, Michael G.
Eames, L. C. => Eames, L. C.
Echelbarger, C. G. => Echelbarger, C. G.
Edwards, J. => Edwards, J.
Edwards, P. => Edwards, P.
Edwards, R. => Edwards, R.
Edwards, S. => Edwards, S.
Egan, M. F. => Egan, M. Frances
Eisenstadt, S. A. => Eisenstadt, S. A.
Elder, C. L. => Elder, Crawford L.
Elgin, C. => Elgin, Catherine
Elitzur, A. C. => Elitzur, Avshalom C.
Ellis, J. => Ellis, J.
Ellis, R. => Ellis, Ralph
Engleman, K. => Engleman, K.
Erion, G. J. => Erion, G. J.
Erneling, C. => Erneling, C.
Eshelman, L. J. => Eshelman, L. J.
Ettinger, R. C W. => Ettinger, R. C W.
Evans, C. S. => Evans, C. S.
Evans, D. => Evans, D.
Evans, J. L => Evans, J. L
Evans, S. => Evans, S.
Everett, T. => Everett, T.
Farah, M. J. => Farah, Martha J.
Faris, J. A => Faris, J. A
Farleigh, P. => Farleigh, Peter
Farrell, B. A => Farrell, B. A
Feest, U. => Feest, U.
Fellous, J. => Fellous, J.
Fernandez, J. => Fernandez, Jordi
Ficsher, J. M. => Fischer, John Martin
Field, G. C. => Field, G. C.
Findlay, J. N => Findlay, J. N
Fine, A. => Fine, Arthur
Finkelstein, D. => Finkelstein, David H.
Finkelstein, D. H. => Finkelstein, David H.
Finke, R. A. => Finke, R. A.
Finn, D. R => Finn, D. R
Finn, D. R. => Finn, D. R.
Fisher, C. M. => Fisher, C. M.
Fisher, J. => Fisher, J.
Fitzpatrick, J. => Fitzpatrick, J.
Flach, P. A => Flach, P. A
Flanagan, O. J. => Flanagan, Owen J.
Fleming, B. N => Fleming, B. N
Fletcher, G. => Fletcher, G.
Flew, A. => Flew, Antony G. N.
Flew, A. G N. => Flew, Antony G. N.
Flint, R. => Flint, R.
Flores, F. => Flores, F.
Fodor, J. => Fodor, Jerry A.
Foelber, F. => Foelber, F.
Fonseca, J. => Fonseca, J.
Ford, E. => Ford, E.
Ford, K. M. => Ford, K. M.
Foss, J. E. => Foss, Jeffrey E.
Foster, C. => Foster, C.
Foster, D. => Foster, D.
Foster, J. A => Foster, J. A
Foti, V. M. => Foti, V. M.
Fox, M. => Fox, M.
Fox, R. => Fox, R.
Fozzy, P. J => Fozzy, P. J
Francescotti, R. M. => Francescotti, Robert M.
Franklin, C. L. => Franklin, C. L.
Franklin, R. L => Franklin, R. L
Franklin, S. => Franklin, Stan
Frank, M. C. => Frank, M. C.
Frank, R. => Frank, R.
Frapolli, M. => Frapolli, M.
Freeman, N. H. => Freeman, N. H.
Friedman, I. S. => Friedman, I. S.
Friedman, M. => Friedman, M.
Frijda, N. H. => Frijda, N. H.
Frith, U. => Frith, Uta
Fuery, P. => Fuery, P.
